chembl_id,canonical_smiles,MW,LogP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,AromaticRings,AliphaticRings,HeteroAtoms,BalabanJ,BertzCT,HallKierAlpha,lipinski_pass,lipinski_violations,veber_pass
CHEMBL3347290,N#Cc1cc(Cl)cc(Oc2c(COCc3ccncc3)c[nH]c(=O)c2Br)c1,446.68800000000005,4.566580000000003,88.0,1,5,6,27,3,0,8,1.834381250994676,1010.1393399365418,-2.6599999999999997,True,0,True
CHEMBL1090006,CC(C)CC[C@H](NC(=O)[C@H](CN)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O,903.0999999999993,-2.6609600000000153,399.17999999999995,15,12,27,64,1,1,23,2.319122381561748,1680.69534118567,-6.230000000000001,False,3,False
CHEMBL1090346,Cn1cc(NC(=O)c2cc(NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](N)Cc3cnc[nH]3)cn2C)cc1C(=O)Nc1cc(C(=O)Nc2cc(C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](Cc3ncc[nH]3)C(N)=O)n(C)c2)n(C)c1,1574.7830000000006,-4.774059999999996,665.0099999999999,23,21,41,113,6,2,43,0.8711414001065775,4224.195847541582,-12.479999999999997,False,3,False
CHEMBL1093640,CC(C)(C)[C@H](NC(=O)NC1(Cc2ccccc2O)CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C,637.8220000000002,3.1738000000000017,170.93,5,6,11,46,1,4,11,1.3396790226535555,1327.9910585388664,-3.630000000000001,True,1,False
CHEMBL1163158,C[C@]12CC/C(=N\OCCN)C[C@@H]1[C@@H](O[N+](=O)[O-])C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.O=C(O)/C=C/C(=O)O,523.5830000000004,2.828099999999999,191.64999999999998,3,9,7,37,0,4,12,4.1353441866676926e-07,907.6849820434247,-3.02,True,1,False
CHEMBL1159554,O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]3[C@H]1CC(=O)c1cc(O)c(O)c4c1C1C(O)(O4)[C@]4(O)O[C@@]5(C(=O)O[C@H]6C(O)CO[C@@]65O)[C@]1(CC4=O)C(=O)O[C@@H]32)c1cc(O)c(O)c(O)c1,1108.7850000000003,-2.2060000000000004,506.01000000000016,15,31,2,79,4,9,31,1.1332541869371944,3455.3218598229205,-9.110000000000001,False,3,False
CHEMBL1093521,O=c1[nH]c2cc(NCCO)ccc2c(=O)n1-c1cccc(Cl)c1,331.759,1.7365999999999995,87.12,3,4,4,23,3,0,7,2.1877911988327123,947.6696335436583,-2.569999999999999,True,0,True
CHEMBL1159451,C[C@@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4C(=O)C=C4C6CC(C)(C)CC[C@]6(CO)[C@@H](O)C[C@]45C)C3(C)C)O[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,943.1340000000007,-0.20869999999999228,294.97999999999996,11,18,9,66,0,8,18,1.0419548539847303,1755.1259104401302,-1.2700000000000005,False,3,False
CHEMBL163965,CC(=O)N[C@@H]1CSSC(C)(C)[C@H](C(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)N(C)C(=O)CNC1=O,690.8059999999998,-4.2927000000000035,310.59999999999997,9,11,8,46,0,1,21,3.4295567632314374,1138.4186245161623,-4.270000000000001,False,3,False
CHEMBL1165401,C=C1C(=O)[C@@]23[C@H](O)C[C@@H]4C(C)(C)CCC[C@@]4(CO)[C@@H]2[C@@H](O)C[C@@H]1[C@H]3O,350.455,1.0391999999999997,97.99000000000001,4,5,1,25,0,4,5,1.9453763157032866,609.527850233655,-0.7500000000000002,True,0,True
